id;id_medication_schedule;metication_name;elderly;dose;time;state
1;63544;Handmade Automotive;Division;executive Auto Loan Account;Innovative New Hampshire killer;overriding Dynamic
2;87735;Executive Beauty overriding;Intelligent Steel Sausages Keyboard SMTP;User-friendly;Oklahoma architectures;convergence pricing structure
3;83965;Plastic;Human Configuration;strategize transmit indexing;Borders teal Illinois;empowering
4;59380;Electronics deposit robust;Accountability;Lake Licensed;backing up parallelism Baht;world-class hacking Cambridgeshire
5;46329;Gorgeous Plastic Table Program;Rubber generate;Massachusetts;Guinea;matrix
6;20056;orange;help-desk;TCP;microchip;contingency alarm payment
7;41594;index Money Market Account National;port compressing Keyboard;customized Assistant;Manager input;Montenegro Tuna
8;38068;relationships;driver Ball haptic;web-enabled Checking Account;executive Personal Loan Account;payment
9;12994;Colorado haptic firewall;holistic;Stream Chicken Fish;Squares;Metal Soft transmitting
10;34460;Jewelery;purple;pink invoice;RAM;input Kwacha experiences
